Local Best, Global Best
19.477932i,9.759441
19.543856i,9.021523
18.070213i,9.404202
16.730686i,9.748503
15.863155i,9.515001
17.275366i,9.873030
13.664207i,7.017143
17.486649i,9.685287
17.516241i,9.992386
16.760256i,8.872297
17.474518i,8.716911
17.004684i,9.930437
18.869564i,7.845554
19.457674i,8.848148
16.526943i,9.997713
22.342119i,8.776253
15.087234i,9.877285
17.035114i,9.144524
12.370186i,8.697721
15.460794i,9.360559
17.780823i,9.971092
15.363483i,9.876665
17.213799i,9.791372
17.833361i,9.907101
17.018642i,9.658926
17.941156i,9.203707
19.005320i,9.049036
10.821407i,8.383545
18.137943i,9.762781
13.934108i,9.854506
