Local Best, Global Best
29.421875i,0.197159
11.314601i,0.066502
49.005226i,0.001963
11.380005i,0.121460
52.001911i,0.010458
56.804825i,0.009466
30.157745i,0.136353
153.046814i,0.072723
1.642309i,0.000433
3.586929i,0.681244
11.308056i,0.044495
23.878994i,0.142374
28.254669i,0.089100
33.291382i,0.032188
12.490528i,0.270653
32.859619i,0.127991
54.607819i,0.104756
0.597160i,0.009674
0.396648i,0.132038
27.797625i,0.013495
7.446823i,0.364502
30.560104i,0.460152
57.037506i,0.119484
154.605896i,0.178325
38.860260i,0.011851
156.332504i,0.074982
14.014690i,0.129608
1.464785i,0.002758
40.864044i,0.004745
55.100067i,0.112097
